"행정구역별(읍면동)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"면부",342341,177964,164377,334944,173722,161222,7397,4242,3155,149778,147976,277,1525,154576,110683,34228,3587,2732,3346,5714
"동부",918495,457507,460988,906157,451132,455025,12338,6375,5963,378314,374906,247,3161,342765,77091,243788,11611,5245,5030,6908
"춘천시",284985,140158,144827,279542,137288,142254,5443,2870,2573,114370,112917,93,1360,94907,26945,63321,1889,1427,1325,1944
"원주시",344168,171818,172350,339635,169333,170302,4533,2485,2048,138996,137823,106,1067,128037,30172,94159,1171,1127,1408,2984
"강릉시",215528,108495,107033,212521,106924,105597,3007,1571,1436,91378,90664,116,598,81928,29558,46480,2760,1443,1687,1895
"동해시",87830,44573,43257,86773,43941,42832,1057,632,425,36358,35984,25,349,38116,10628,24012,1655,1153,668,727
"태백시",43488,21928,21560,43148,21816,21332,340,112,228,18763,18663,18,82,20981,6052,11297,3061,164,407,357
"속초시",78312,38834,39478,76966,38026,38940,1346,808,538,33961,33623,28,310,34269,8575,23139,1478,475,602,1005
"삼척시",67881,35175,32706,66928,34644,32284,953,531,422,29712,29470,34,208,30944,13661,14265,1563,907,548,632
"홍천군",67177,34347,32830,65842,33599,32243,1335,748,587,28691,28314,49,328,29106,18402,8017,1492,556,639,888
"횡성군",44116,22417,21699,43275,21941,21334,841,476,365,18843,18612,32,199,19529,13910,4361,413,504,341,761
"영월군",36762,18977,17785,36277,18785,17492,485,192,293,16752,16642,19,91,17404,11662,3907,665,792,378,624
"평창군",40025,20497,19528,39465,20260,19205,560,237,323,17801,17612,23,166,21175,12479,5302,1923,995,476,721
"정선군",35580,18582,16998,35216,18470,16746,364,112,252,15638,15539,17,82,16507,10087,5126,379,474,441,559
"철원군",44346,23485,20861,43314,22860,20454,1032,625,407,17423,17064,27,332,16364,9360,4668,995,899,442,770
"화천군",23950,13041,10909,23595,12884,10711,355,157,198,10282,10169,20,93,9623,5786,2906,477,224,230,396
"양구군",22101,11761,10340,21722,11618,10104,379,143,236,9163,9076,13,74,8277,4829,2703,324,174,247,295
"인제군",30373,16416,13957,29917,16190,13727,456,226,230,12898,12768,11,119,12017,7488,3258,532,338,401,411
"고성군",28127,15139,12988,26869,14215,12654,1258,924,334,12188,12031,27,130,11653,8897,2163,109,113,371,494
"양양군",25642,12961,12681,25237,12733,12504,405,228,177,11630,11513,13,104,12807,7901,3712,487,286,421,477
"충청북도",1620935,826183,794752,1566100,791904,774196,54835,34279,20556,656101,640978,813,14310,607686,209827,351577,16286,20306,9690,18386
"읍부",324696,167828,156868,312475,160212,152263,12221,7616,4605,129618,126148,211,3259,124184,38611,72137,5146,6269,2021,4637
"면부",356704,187712,168992,333723,171400,162323,22981,16312,6669,153984,148867,365,4752,160137,108886,41295,2815,5005,2136,7226
"동부",939535,470643,468892,919902,460292,459610,19633,10351,9282,372499,365963,237,6299,323365,62330,238145,8325,9032,5533,6523
"충주시",215224,109825,105399,208077,105428,102649,7147,4397,2750,90559,88711,100,1748,88082,29863,48981,2810,4881,1547,1951
"제천시",136101,68478,67623,134150,67502,66648,1951,976,975,56921,56476,56,389,56261,20782,31327,1869,994,1289,1147
"청주시",845036,425541,419495,826211,415082,411129,18825,10459,8366,331273,325023,230,6020,283664,63404,204683,5437,6104,4036,8206
"상당구",170120,84868,85252,168484,84066,84418,1636,802,834,64416,63906,55,455,60650,16637,39884,1414,1783,932,989
"서원구",216409,107382,109027,212208,105234,106974,4201,2148,2053,84396,83079,59,1258,72244,14044,54636,1241,1187,1136,1561
"흥덕구",258037,130621,127416,250690,126498,124192,7347,4123,3224,103269,100525,53,2691,81905,17873,59778,1322,2024,908,3776
"청원구",200470,102670,97800,194829,99284,95545,5641,3386,2255,79192,77513,63,1616,68865,14850,50385,1460,1110,1060,1880
"보은군",32507,16357,16150,31852,16037,15815,655,320,335,14243,14080,21,142,15088,11753,2475,305,295,260,557
"옥천군",49756,24997,24759,48739,24399,24340,1017,598,419,20600,20362,31,207,21611,14051,5559,516,1079,406,709
"영동군",48475,24151,24324,47675,23763,23912,800,388,412,21157,20915,74,168,20972,15265,3791,911,676,329,655
"진천군",83915,45247,38668,75070,39083,35987,8845,6164,2681,33339,31023,84,2232,35314,10988,19059,1651,3201,415,1339
"괴산군",38453,19905,18548,37310,19169,18141,1143,736,407,16986,16765,43,178,16380,14153,1183,263,467,314,738
"음성군",105539,58229,47310,92398,48655,43743,13141,9574,3567,42815,39808,141,2866,41973,16061,22264,1047,2079,522,2375
"단양군",28444,14254,14190,28155,14127,14028,289,127,162,12762,12684,16,62,13840,9425,2778,1021,304,312,359
"증평군",37485,19199,18286,36463,18659,17804,1022,540,482,15446,15131,17,298,14501,4082,9477,456,226,260,350
"충청남도",2181416,1119996,1061420,2085578,1061485,1024093,95838,58511,37327,877628,851124,1221,25283,835752,307981,453830,22457,40507,10977,31709
"읍부",507389,261430,245959,488140,249499,238641,19249,11931,7318,203052,198163,304,4585,202721,67318,110237,8853,12864,3449,6652
"면부",675822,354010,321812,628950,322544,306406,46872,31466,15406,278364,267538,615,10211,284699,193203,75749,4215,8434,3098,10661
"동부",998205,504556,493649,968488,489442,479046,29717,15114,14603,396212,385423,302,10487,348332,47460,267844,9389,19209,4430,14396
"천안시",671799,344688,327111,643376,327828,315548,28423,16860,11563,265301,256949,327,8025,231474,34284,175564,5868,13023,2735,12643
"동남구",276455,141393,135062,263455,133726,129729,13000,7667,5333,108638,104705,157,3776,94903,20180,63171,3746,6397,1409,3214
"서북구",395344,203295,192049,379921,194102,185819,15423,9193,6230,156663,152244,170,4249,136571,14104,112393,2122,6626,1326,9429
"공주시",110119,54549,55570,107456,53202,54254,2663,1347,1316,45256,44552,78,626,43883,23934,16776,1199,1264,710,1434
"보령시",100229,51911,48318,96489,49086,47403,3740,2825,915,42247,41506,48,693,42545,22886,16354,1442,1031,832,1293
"아산시",342272,179837,162435,316463,163697,152766,25809,16140,9669,128075,120613,210,7252,120706,24375,88306,1928,5085,1012,3803
