종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
003465,유화증권우,"214,568","0","214,568","653,090,580","0","653,090,580",-
084670,동양고속,"37,630","12,217","25,413","957,615,000","310,202,500","647,412,500",육상 여객 운송업
014830,유니드,"428,949","379,987","48,962","15,434,448,450","14,801,351,300","633,097,150",기초 화학물질 제조업
005690,파미셀,"1,185,649","1,141,000","44,649","23,484,763,440","22,860,427,370","624,336,070",기초 의약물질 및 생물학적 제제 제조업
012690,모나리자,"658,868","562,485","96,383","4,408,645,155","3,857,556,845","551,088,310",기타 종이 및 판지 제품 제조업
145720,덴티움,"60,707","47,106","13,601","2,405,043,300","1,962,398,750","442,644,550",의료용 기기 제조업
006890,태경케미컬,"188,431","87,415","101,016","888,525,885","446,074,745","442,451,140",기초 화학물질 제조업
002900,동양물산,"853,733","348,231","505,502","829,149,801","386,875,397","442,274,404",특수 목적용 기계 제조업
079430,현대리바트,"1,238,997","1,273,276","-34,279","15,433,989,410","15,002,226,260","431,763,150",가구 제조업
194370,제이에스코퍼레이션,"194,976","106,644","88,332","1,314,067,030","896,103,800","417,963,230","가죽, 가방 및 유사제품 제조업"
093370,후성,"3,101,385","3,078,540","22,845","23,744,582,710","23,343,205,010","401,377,700",기초 화학물질 제조업
017370,우신시스템,"250,994","137,665","113,329","881,136,430","483,782,395","397,354,035",특수 목적용 기계 제조업
015540,쎌마테라퓨틱스,"415,267","366,174","49,093","2,524,701,580","2,142,225,080","382,476,500",기타 사업지원 서비스업
007460,에이프로젠 KIC,"3,328,860","3,279,243","49,617","10,089,017,850","9,723,175,695","365,842,155",기타 금속 가공제품 제조업
071840,롯데하이마트,"1,059,892","1,104,204","-44,312","29,721,010,850","29,359,735,500","361,275,350",가전제품 및 정보통신장비 소매업
017810,풀무원,"777,276","751,861","25,415","11,444,322,830","11,088,692,790","355,630,040",기타 식품 제조업
006570,대림통상,"96,749","3,956","92,793","370,169,305","15,153,780","355,015,525",기타 금속 가공제품 제조업
153360,하이골드3호,"327,658","45,058","282,600","411,578,030","61,551,925","350,026,105",운송장비 임대업
023000,삼원강재,"213,760","94,930","118,830","560,631,875","222,878,540","337,753,335",자동차 신품 부품 제조업
00104K,CJ4우(전환),"444,786","450,497","-5,711","24,885,440,850","24,550,957,650","334,483,200",-
027970,세하,"1,193,874","1,203,686","-9,812","2,425,215,095","2,091,070,225","334,144,870","펄프, 종이 및 판지 제조업"
000180,성창기업지주,"276,805","61,098","215,707","417,229,509","91,615,412","325,614,097",회사 본부 및 경영 컨설팅 서비스업
105840,우진,"889,463","749,163","140,300","3,056,851,605","2,746,087,225","310,764,380","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
