종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
069620,대웅제약,"4,340,942","4,229,331","111,611","375,789,263,700","364,571,523,600","11,217,740,100",의약품 제조업
002380,KCC,"597,711","514,334","83,377","81,603,281,000","70,645,455,000","10,957,826,000",기타 화학제품 제조업
003550,LG,"1,154,836","953,764","201,072","65,241,798,700","54,375,114,650","10,866,684,050",기타 금융업
012450,한화에어로스페이스,"4,370,473","3,810,922","559,551","87,300,821,050","76,461,164,850","10,839,656,200","항공기,우주선 및 부품 제조업"
00104K,CJ4우(전환),"590,469","351,718","238,751","25,613,886,500","14,850,368,100","10,763,518,400",-
047050,포스코인터내셔널,"6,879,836","5,999,296","880,540","79,781,364,220","69,321,224,980","10,460,139,240",상품 중개업
008560,메리츠종금증권,"36,819,236","32,614,251","4,204,985","102,365,965,275","92,058,410,270","10,307,555,005",금융 지원 서비스업
161890,한국콜마,"3,408,567","3,166,771","241,796","123,447,901,250","113,656,647,450","9,791,253,800",기타 화학제품 제조업
097950,CJ제일제당,"702,287","640,873","61,414","140,205,460,000","131,223,632,000","8,981,828,000",기타 식품 제조업
00680K,미래에셋대우2우B,"9,651,276","6,500,963","3,150,313","27,874,436,910","19,128,269,945","8,746,166,965",-
005850,에스엘,"2,338,156","1,635,891","702,265","28,016,793,230","19,322,536,060","8,694,257,170",자동차 신품 부품 제조업
161390,한국타이어앤테크놀로지,"2,940,623","2,464,965","475,658","56,517,064,900","47,888,542,100","8,628,522,800",고무제품 제조업
005300,롯데칠성,"256,559","163,662","92,897","23,700,445,200","15,179,408,100","8,521,037,100",비알코올음료 및 얼음 제조업
005387,현대차2우B,"590,175","434,565","155,610","32,747,797,750","24,262,459,200","8,485,338,550",-
002790,아모레G,"1,122,491","968,782","153,709","59,917,112,800","51,447,509,200","8,469,603,600",기타 화학제품 제조업
079160,CJ CGV,"4,271,254","3,800,195","471,059","82,730,651,650","74,303,884,650","8,426,767,000","영화, 비디오물, 방송프로그램 제작 및 배급업"
051905,LG생활건강우,"28,786","15,839","12,947","19,221,372,000","10,825,336,000","8,396,036,000",-
007070,GS리테일,"1,372,854","1,118,098","254,756","42,690,409,100","34,310,263,950","8,380,145,150",종합 소매업
066575,LG전자우,"1,485,954","1,049,679","436,275","28,060,672,250","19,796,670,400","8,264,001,850",-
003670,포스코케미칼,"10,476,319","10,390,453","85,866","484,573,312,150","476,771,427,300","7,801,884,850","내화, 비내화 요업제품 제조업"
020560,아시아나항공,"61,870,273","59,739,672","2,130,601","202,614,643,800","194,864,494,525","7,750,149,275",항공 여객 운송업
017960,한국카본,"9,058,904","7,898,277","1,160,627","54,698,874,915","47,036,241,985","7,662,632,930","구조용 금속제품, 탱크 및 증기발생기 제조업"
016360,삼성증권,"5,995,263","5,595,079","400,184","159,127,961,700","151,657,348,350","7,470,613,350",금융 지원 서비스업
008350,남선알미늄,"262,991,440","261,480,956","1,510,484","1,077,157,086,055","1,069,945,487,145","7,211,598,910",1차 비철금속 제조업
003850,보령제약,"9,126,314","8,517,108","609,206","100,245,572,860","93,036,220,750","7,209,352,110",의약품 제조업
344820,케이씨씨글라스,"3,209,779","2,868,234","341,545","60,940,036,950","54,192,547,400","6,747,489,550",유리 및 유리제품 제조업
000815,삼성화재우,"226,626","163,158","63,468","24,527,231,600","17,850,753,000","6,676,478,600",-
006360,GS건설,"8,309,961","8,127,679","182,282","168,157,696,650","161,489,871,500","6,667,825,150",건물 건설업
034120,SBS,"3,031,473","2,615,980","415,493","50,867,581,450","44,209,958,500","6,657,622,950",텔레비전 방송업
111770,영원무역,"1,666,412","1,408,086","258,326","38,070,697,350","31,437,307,550","6,633,389,800",상품 종합 도매업
